Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	F:\03_raw\Grad090_LFQ_A_01.mzML.dia	F:\03_raw\Grad090_LFQ_A_02.mzML.dia	F:\03_raw\Grad090_LFQ_A_04.mzML.dia	F:\03_raw\Grad090_LFQ_A_05.mzML.dia	F:\03_raw\Grad090_LFQ_B_01.mzML.dia	F:\03_raw\Grad090_LFQ_B_02.mzML.dia	F:\03_raw\Grad090_LFQ_B_03.mzML.dia	F:\03_raw\Grad090_LFQ_B_04.mzML.dia
Q04728	Q04728	ARGJ_YEAST	ARG7_YEAST	Arginine biosynthesis bifunctional protein ArgJ, mitochondrial	969452	994692	908400	965958	408332	432263	396626	483801
Q04739	Q04739	GAL83_YEAST	GAL83_YEAST	SNF1 protein kinase subunit beta-3	456792	422806	460866	298401	188088	162415	116306	97993.4
Q04760	Q04760	LGUL_HUMAN	GLO1_HUMAN	Lactoylglutathione lyase	2.39164e+07	2.39086e+07	2.32299e+07	2.03948e+07	2.33741e+07	2.36613e+07	2.32598e+07	2.36416e+07
Q04767	Q04767	TVP18_YEAST	TVP18_YEAST	Golgi apparatus membrane protein TVP18	2.56148e+06	3.01211e+06	2.8741e+06	3.0094e+06	1.38021e+06	1.54727e+06	1.12711e+06	1.30674e+06
Q04772	Q04772	IRC21_YEAST	IRC21_YEAST	Increased recombination centers protein 21	28352.8	15292.4	55951.3	9615.85				
Q04773	Q04773	YMW4_YEAST	YMR074C_YEAST	Uncharacterized protein YMR074C	3.20579e+06	3.44313e+06	3.29605e+06	3.26094e+06	1.2886e+06	1.40855e+06	1.33742e+06	1.48959e+06
Q04779	Q04779	RCO1_YEAST	RCO1_YEAST	Transcriptional regulatory protein RCO1	282426	308301	306222	215396	140217	137948	143717	
Q04781	Q04781	LTN1_YEAST	RKR1_YEAST	E3 ubiquitin-protein ligase listerin	286231	274396	295583	251723	95202.6	108804	88964.3	114375
Q04792	Q04792	DCE_YEAST	GAD1_YEAST	Glutamate decarboxylase	6.95724e+06	7.06009e+06	6.88266e+06	7.40105e+06	2.98754e+06	3.11205e+06	3.10028e+06	2.995e+06
Q04835	Q04835	YM87_YEAST	YMR253C_YEAST	Uncharacterized membrane protein YMR253C	151876	193382	174200	207820				70594.3
Q04837	Q04837	SSBP_HUMAN	SSBP1_HUMAN	Single-stranded DNA-binding protein, mitochondrial	1.85545e+07	1.82378e+07	1.86714e+07	1.6618e+07	1.87603e+07	1.84994e+07	1.83893e+07	1.84973e+07
Q04839	Q04839	GFD1_YEAST	GFD1_YEAST	mRNA transport factor GFD1	87287		66552.6	67431.6	26030.4	40182.3		
Q04847	Q04847	ROY1_YEAST	ROY1_YEAST	Non-SCF-type F-box protein ROY1	401772	313805	352635	334318	118950	128466		140473
Q04864	Q04864	REL_HUMAN	REL_HUMAN	Proto-oncogene c-Rel					152753	176523	95137	28144.9
Q04867	Q04867	YM91_YEAST	YMR310C_YEAST	Putative methyltransferase YMR310C	255704	253973		56577.1				
Q04868	Q04868	ELP6_YEAST	ELP6_YEAST	Elongator complex protein 6	563186	551121	649582	650730	216079	223177	228877	176049
Q04869	Q04869	YM94_YEAST	YMR315W_YEAST	Uncharacterized protein YMR315W	1.00602e+07	1.02627e+07	1.02682e+07	9.38663e+06	4.68611e+06	4.65398e+06	4.74349e+06	4.58475e+06
Q04894	Q04894	ADH6_YEAST	ADH6_YEAST	NADP-dependent alcohol dehydrogenase 6	9.3802e+06	9.5704e+06	9.1557e+06	8.13664e+06	4.20118e+06	4.17012e+06	4.22542e+06	3.95072e+06
Q04912	Q04912	RON_HUMAN	MST1R_HUMAN	Macrophage-stimulating protein receptor	157421	186971	118364	192345	220929	208215	222685	212903
Q04917	Q04917	1433F_HUMAN	YWHAH_HUMAN	14-3-3 protein eta	6.25676e+06	6.37733e+06	6.68923e+06	6.61424e+06	6.92483e+06	6.76749e+06	6.74712e+06	7.10819e+06
Q04922	Q04922	MFB1_YEAST	MFB1_YEAST	Mitochondrial F-box protein MFB1	153535	167798	165166	172714				
Q04924	Q04924	GLU2B_YEAST	GTB1_YEAST	Glucosidase 2 subunit beta	307968	275643	356375	368011	144896	185546	131564	115578
Q04934	Q04934	IVY1_YEAST	IVY1_YEAST	Protein IVY1	549354	605709	425911	632313	238502	264577	247563	192585
Q04935	Q04935	COX20_YEAST	COX20_YEAST	Cytochrome c oxidase assembly protein COX20, mitochondrial	366856	392168	351276	325992	204720	172561	218532	220575
Q04941	Q04941	PLP2_HUMAN	PLP2_HUMAN	Proteolipid protein 2	2.67735e+07	2.53179e+07	2.62184e+07	2.19307e+07	2.58444e+07	2.63497e+07	2.7804e+07	2.62567e+07
Q04947	Q04947	RTN1_YEAST	RTN1_YEAST	Reticulon-like protein 1	4.03431e+07	4.00617e+07	4.06334e+07	3.81716e+07	1.85064e+07	1.84827e+07	1.84217e+07	1.87473e+07
Q04958	Q04958	NTE1_YEAST	NTE1_YEAST	Lysophospholipase NTE1	768116	738561	801960	708726	240109	348924	227224	266968
Q04964	Q04964	SML1_YEAST	SML1_YEAST	Ribonucleotide reductase inhibitor protein SML1	487983	520511	409621	396659	260022	248411	243024	212235
Q04969	Q04969	SPC2_YEAST	SPC2_YEAST	Signal peptidase complex subunit SPC2	1.10521e+06	1.15454e+06	1.20791e+06	1.22538e+06	569186	518988	612181	548897
Q04991	Q04991	FMP42_YEAST	FMP42_YEAST	Protein FMP42	1.29037e+06	1.04277e+06	1.0596e+06	1.21954e+06	366359	518954	471617	314675
Q05015	Q05015	FSH2_YEAST	FSH2_YEAST	Family of serine hydrolases 2	476301	513154	434320	460433	169426	235491	164357	220550
Q05016	Q05016	YM71_YEAST	YMR226C_YEAST	NADP-dependent 3-hydroxy acid dehydrogenase	9.04427e+06	8.95681e+06	9.15341e+06	8.73875e+06	4.26511e+06	4.21765e+06	4.31701e+06	4.33271e+06
Q05021	Q05021	TAF7_YEAST	TAF7_YEAST	Transcription initiation factor TFIID subunit 7		50412.4				15452.9		
Q05022	Q05022	RRP5_YEAST	RRP5_YEAST	rRNA biogenesis protein RRP5	5.43396e+06	5.56779e+06	5.48302e+06	5.79367e+06	2.52562e+06	2.50866e+06	2.56068e+06	2.55665e+06
Q05024	Q05024	TRI1_YEAST	TRI1_YEAST	Protein TRI1	213127	83088.7	85981.1	137603	21758.1			
Q05027	Q05027	TAF9_YEAST	TAF9_YEAST	Transcription initiation factor TFIID subunit 9	565813	547810	465474	380591		204816		284093
Q05029	Q05029	BCH1_YEAST	BCH1_YEAST	Protein BCH1	2.99528e+06	3.20905e+06	2.99733e+06	2.93669e+06	1.46035e+06	1.46794e+06	1.34106e+06	1.44396e+06
Q05031	Q05031	DFG5_YEAST	DFG5_YEAST	Mannan endo-1,6-alpha-mannosidase DFG5	822874	761546	759451	625734	502854		285462	
Q05040	Q05040	FAR8_YEAST	FAR8_YEAST	Factor arrest protein 8	234573	304065	263580	331133	115654	70393	118296	89968
Q05048	Q05048	CSTF1_HUMAN	CSTF1_HUMAN	Cleavage stimulation factor subunit 1	1.85268e+06	1.82174e+06	1.90193e+06	1.6362e+06	1.76543e+06	1.85818e+06	1.88379e+06	1.87331e+06
Q05050	Q05050	EIS1_YEAST	EIS1_YEAST	Eisosome protein 1	2.84716e+06	2.82055e+06	2.7073e+06	2.6582e+06	1.19915e+06	1.26942e+06	1.30253e+06	1.26872e+06
Q05086	Q05086	UBE3A_HUMAN	UBE3A_HUMAN	Ubiquitin-protein ligase E3A	342143	264830	294933	253840	326441	340930	287784	321885
Q05123	Q05123	ARP9_YEAST	ARP9_YEAST	Actin-like protein ARP9	1.58033e+06	1.55128e+06	1.75801e+06	1.3238e+06	786454	718687	713400	732894
Q05166	Q05166	NUP59_YEAST	ASM4_YEAST	Nucleoporin ASM4	171826	165803	154478	118537	38763.8			
Q05209	Q05209	PTN12_HUMAN	PTPN12_HUMAN	Tyrosine-protein phosphatase non-receptor type 12	280685	254956	235920	219427	324566	280971	315202	324428
Q05359	Q05359	ERP1_YEAST	ERP1_YEAST	Protein ERP1	3.65706e+06	3.83303e+06	4.33382e+06	3.07922e+06	1.46281e+06	1.40493e+06	1.32585e+06	1.49337e+06
Q05397	Q05397	FAK1_HUMAN	PTK2_HUMAN	Focal adhesion kinase 1	519568	466729	435701	446566	482522	494281	515953	456668
Q05443	Q05443	SWISS-PROT:Q05443	SWISS-PROT:Q05443		6.15346e+06	6.02374e+06	6.0977e+06	5.73313e+06	6.09524e+06	5.80333e+06	6.19646e+06	6.23461e+06
Q05468	Q05468	RQC1_YEAST	RQC1_YEAST	Ribosome quality control complex subunit 1	454843	516523	321037	423186	217294		256058	242027
Q05471	Q05471	SWR1_YEAST	SWR1_YEAST	Helicase SWR1	142041	133992	88693.1				85675.7	
Q05498	Q05498	FCF1_YEAST	FCF1_YEAST	rRNA-processing protein FCF1	120799	188167	167330	165067				
Q05506	Q05506	SYRC_YEAST	YDR341C_YEAST	Arginine--tRNA ligase, cytoplasmic	2.51175e+07	2.48681e+07	2.50473e+07	2.3327e+07	1.19848e+07	1.22747e+07	1.21643e+07	1.14804e+07
Q05515	Q05515	SVF1_YEAST	SVF1_YEAST	Survival factor 1	4.46885e+06	4.32214e+06	4.55591e+06	4.3073e+06	1.99961e+06	2.0594e+06	1.94629e+06	1.96463e+06
Q05518	Q05518	PAL1_YEAST	PAL1_YEAST	Protein PAL1	742125	743450	803584	719046	316157	289247	214978	284226
Q05519	Q05519	SRS11_HUMAN	SRSF11_HUMAN	Serine/arginine-rich splicing factor 11	1.07523e+07	1.13425e+07	1.11301e+07	1.09494e+07	1.06237e+07	1.09366e+07	1.0904e+07	1.10654e+07
Q05521	Q05521	DPP1_YEAST	DPP1_YEAST	Diacylglycerol pyrophosphate phosphatase 1	973837	848244	960052	888428	249995		272385	
Q05533	Q05533	INM2_YEAST	INM2_YEAST	Inositol monophosphatase 2	142509	158033	162600					
Q05543	Q05543	RT103_YEAST	RTT103_YEAST	Regulator of Ty1 transposition protein 103	527618	452451	580678	503053	293338	172166	214622	245767
Q05549	Q05549	HRQ1_YEAST	HRQ1_YEAST	ATP-dependent helicase HRQ1	60292.8	81790.7	58294.5					
Q05567	Q05567	SGPL_YEAST	DPL1_YEAST	Sphingosine-1-phosphate lyase	3.20441e+06	3.40526e+06	3.30034e+06	2.98761e+06	1.56779e+06	1.41793e+06	1.54196e+06	1.35857e+06
Q05580	Q05580	HEL2_YEAST	HEL2_YEAST	E3 ubiquitin-protein ligase HEL2	460361	435775	403695	396966	183773	191913	164942	221082
Q05584	Q05584	GLO2_YEAST	GLO2_YEAST	Hydroxyacylglutathione hydrolase, cytoplasmic isozyme	4.54828e+06	4.36641e+06	4.47468e+06	4.03974e+06	1.81426e+06	1.95837e+06	1.9572e+06	2.08239e+06
Q05636	Q05636	RRP45_YEAST	RRP45_YEAST	Exosome complex component RRP45	1.34517e+06	1.33737e+06	1.39902e+06	1.29583e+06	594750	453258	560639	503235
Q05639	Q05639	EF1A2_HUMAN	EEF1A2_HUMAN	Elongation factor 1-alpha 2	3.21244e+08	3.12264e+08	3.14781e+08	2.93099e+08	3.17589e+08	3.1138e+08	3.22127e+08	3.05265e+08
Q05655	Q05655;Q04759	KPCD_HUMAN	PRKCD_HUMAN	Protein kinase C delta type	243942	227223	160611	192163	237964	252303	230618	211516
Q05676	Q05676	SOM1_YEAST	SOM1_YEAST	Protein SOM1, mitochondrial		47308.3						
Q05682	Q05682	CALD1_HUMAN	CALD1_HUMAN	Caldesmon	2.22428e+06	2.36126e+06	2.33554e+06	2.0133e+06	2.36638e+06	2.29361e+06	2.38561e+06	2.42471e+06
Q05775	Q05775	EIF3J_YEAST	HCR1_YEAST	Eukaryotic translation initiation factor 3 subunit J	1.13325e+07	1.14864e+07	1.11741e+07	1.04817e+07	5.03454e+06	5.10873e+06	5.23236e+06	5.12985e+06
Q05778	Q05778	POC1_YEAST	PBA1_YEAST	Proteasome chaperone 1	926618	874570	1.0723e+06	845125		571815	533032	
Q05779	Q05779	COQ9_YEAST	COQ9_YEAST	Ubiquinone biosynthesis protein COQ9, mitochondrial	283743	235471	236589	142702	133235	140760	112843	179044
Q05785	Q05785	ENT2_YEAST	ENT2_YEAST	Epsin-2	1.33464e+06	1.28969e+06	1.39038e+06	1.51341e+06	567724	543272	577321	605941
Q05785;Q12518	Q05785;Q12518	ENT1_YEAST;ENT2_YEAST	ENT1_YEAST;ENT2_YEAST	Epsin-2	664531	672913	631786	655210	124093	128022	59914.3	138296
Q05787	Q05787	HRD3_YEAST	HRD3_YEAST	ERAD-associated E3 ubiquitin-protein ligase component HRD3	93208.8	119278	144075					
Q05788	Q05788	PNPH_YEAST	PNP1_YEAST	Purine nucleoside phosphorylase	1.5299e+06	1.29606e+06	1.47189e+06	1.44842e+06	588361	614586	650740	606120
Q05791	Q05791	CD123_YEAST	CDC123_YEAST	Cell division cycle protein 123	132077	158340	134748	150688	134124		42929.6	
Q05809	Q05809	COA4_YEAST	COA4_YEAST	Cytochrome oxidase assembly factor 4	414229	401801	407451	367601	181239	181907	144950	174821
Q05812	Q05812	MSC3_YEAST	MSC3_YEAST	Meiotic sister-chromatid recombination protein 3	776756	794756	776272	785862	395805	399932	301566	453838
Q05827	Q05827	HOR7_YEAST	HOR7_YEAST	Protein HOR7	1.06916e+06	1.0477e+06	736591	1.00267e+06		393980	460676	511933
Q05854	Q05854	YL278_YEAST	YLR278C_YEAST	Uncharacterized transcriptional regulatory protein YLR278C	86746.6	88471.4	54592.4	50736.3			45594.2	61875.6
Q05871	Q05871	ECI1_YEAST	ECI1_YEAST	3,2-trans-enoyl-CoA isomerase	208301	177458	202817	186953	91067.8	92927.6	32885.6	76401
Q05874	Q05874	EFM7_YEAST	NNT1_YEAST	Protein N-terminal and lysine N-methyltransferase EFM7	609382	677144	702260	582929				
Q05881	Q05881	YL287_YEAST	YLR287C_YEAST	Uncharacterized protein YLR287C	710035	722969	727531	659117	342320	260828	302853	324398
Q05892	Q05892	COQ11_YEAST	COQ11_YEAST	MIOREX complex component 2	150582	275926	248167	168671				
Q05902	Q05902	ECM38_YEAST	ECM38_YEAST	Glutathione hydrolase proenzyme	41714.2	57033.3	99733.7					
Q05905	Q05905	HRI1_YEAST	HRI1_YEAST	Protein HRI1	9.76528e+06	9.71324e+06	9.95884e+06	9.12848e+06	4.71361e+06	4.7083e+06	4.87642e+06	4.71181e+06
Q05911	Q05911	PUR8_YEAST	ADE13_YEAST	Adenylosuccinate lyase	2.06115e+07	2.12291e+07	2.0837e+07	2.02128e+07	1.00325e+07	9.58158e+06	1.01767e+07	1.03675e+07
Q05919	Q05919	VPS38_YEAST	VPS38_YEAST	Vacuolar protein sorting-associated protein 38	195074	153893	213475	192648	55896.2	81815.9	53902.8	65478.8
Q05926	Q05926	GLRX8_YEAST	GRX8_YEAST	Glutaredoxin-8	302872	335995	265051	293074	90167.5		111630	50181.5
Q05931	Q05931	HSP7Q_YEAST	SSQ1_YEAST	Iron-sulfur cluster biogenesis chaperone, mitochondrial	286674	237731	218048	342235	97707.3			153977
Q05932	Q05932	FOLC_HUMAN	FPGS_HUMAN	Folylpolyglutamate synthase, mitochondrial					101915	41643.2	69684.4	43679.8
Q05933	Q05933	ARPC3_YEAST	ARC18_YEAST	Actin-related protein 2/3 complex subunit 3	6.70538e+06	6.08946e+06	6.65427e+06	6.73813e+06	2.91283e+06	2.69666e+06	3.00264e+06	2.82827e+06
Q05934	Q05934	VID22_YEAST	VID22_YEAST	Vacuolar import and degradation protein 22	458748	359898	366875	396670	208733	202440	205817	183881
Q05942	Q05942	RSA3_YEAST	RSA3_YEAST	Ribosome assembly protein 3	317569	392149	388430	289470			143730	99411.3
Q05946	Q05946	UTP13_YEAST	UTP13_YEAST	U3 small nucleolar RNA-associated protein 13	929283	885994	808323	747170	439842	365021	436609	421799
Q05948	Q05948	YL225_YEAST	YLR225C_YEAST	Uncharacterized SVF1-like protein YLR225C	1.11554e+06	1.20769e+06	1.25647e+06	1.12087e+06	596293	504423	521007	569638
Q05949	Q05949	BUR2_YEAST	BUR2_YEAST	Protein BUR2	165087	176122	79699.7	128049				
Q05979	Q05979	KYNU_YEAST	BNA5_YEAST	Kynureninase	995078	978566	1.07092e+06	867142	409452	423492	427755	415415
Q05D32	Q05D32	CTSL2_HUMAN	CTDSPL2_HUMAN	CTD small phosphatase-like protein 2	951888	919530	850186	893120	951053	953597	944849	970468
Q06001	Q06001	FAR10_YEAST	FAR10_YEAST	Factor arrest protein 10	76506.8	96147				48987.8		
Q06010	Q06010	STE23_YEAST	STE23_YEAST	A-factor-processing enzyme	1.41461e+06	1.43201e+06	1.42283e+06	1.2981e+06	654431	644546	596818	523716
Q06011	Q06011	ECM19_YEAST	ECM19_YEAST	Protein ECM19	637641	628183	633467	704510	311983	335476	354689	262953
Q06033	Q0V8M9;Q06033	ITIH3_HUMAN	ITIH3_HUMAN	Inter-alpha-trypsin inhibitor heavy chain H3	1.8686e+07	1.88615e+07	1.95858e+07	1.78847e+07	1.89632e+07	1.85567e+07	1.82983e+07	1.84571e+07
Q06053	Q06053	DUS3_YEAST	DUS3_YEAST	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]	345580	329410	291721	231329	109002	134977	111304	119333
Q06058	Q06058	SEI1_YEAST	SEI1_YEAST	Seipin	95598.3	95376.1		83062	26492.9		34788	
Q06063	Q06063	DUS4_YEAST	DUS4_YEAST	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]	70147.1	34414.3	31595.7					
Q06070	Q06070	YL407_YEAST	YLR407W_YEAST	Uncharacterized protein YLR407W	42054	89690	101552	91540.1	24647.7	22523.1		
Q06078	Q06078	UTP21_YEAST	UTP21_YEAST	U3 small nucleolar RNA-associated protein 21	447929		260316	447529	314124	263483		
Q06089	Q06089	YP098_YEAST	YPR098C_YEAST	Uncharacterized mitochondrial outer membrane protein YPR098C	1.27029e+06	1.17894e+06	1.41788e+06	1.40841e+06				
Q06096	Q06096	COG4_YEAST	COG4_YEAST	Conserved oligomeric Golgi complex subunit 4	364398	361684	370433	371335	196727	162651	72698.6	174818
Q06103	Q06103	RPN7_YEAST	RPN7_YEAST	26S proteasome regulatory subunit RPN7	9.16102e+06	9.16977e+06	8.9785e+06	8.8455e+06	4.20275e+06	4.0399e+06	4.09223e+06	4.07316e+06
Q06106	Q06106	MRD1_YEAST	MRD1_YEAST	Multiple RNA-binding domain-containing protein 1	491247	421055	472791	406194	193817	201288	188542	211705
Q06108	Q06108	RGC1_YEAST	RGC1_YEAST	Regulator of the glycerol channel 1	117838	108865	182165	168845	53375.7	179659	77159.6	53428
Q06124	Q06124	PTN11_HUMAN	PTPN11_HUMAN	Tyrosine-protein phosphatase non-receptor type 11	3.78135e+06	3.90482e+06	3.87564e+06	3.28642e+06	3.84262e+06	3.86033e+06	3.801e+06	3.95552e+06
Q06132	Q06132	SGD1_YEAST	SGD1_YEAST	Suppressor of glycerol defect protein 1	518012	532457	477200	494475	169171	292317	247756	254281
Q06136	Q06136	KDSR_HUMAN	KDSR_HUMAN	3-ketodihydrosphingosine reductase	2.15163e+06	1.98472e+06	2.34263e+06	1.78491e+06	2.26563e+06	2.39217e+06	2.21853e+06	2.25348e+06
Q06137	Q06137	YL345_YEAST	YLR345W_YEAST	Putative 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase YLR345W	456303	497380	424538	523493	248673	210304	183540	228749
Q06142	Q06142	IMB1_YEAST	KAP95_YEAST	Importin subunit beta-1	2.10977e+06	2.113e+06	2.18251e+06	1.83968e+06	1.00167e+06	1.10856e+06	1.03487e+06	975319
Q06143	Q06143	DIC1_YEAST	DIC1_YEAST	Mitochondrial dicarboxylate transporter	966045	894763	737125	1.07465e+06		322902		349571
Q06144	Q06144	ORM2_YEAST	ORM2_YEAST	Protein ORM2	859570	646328						
Q06146	Q06146	YL257_YEAST	YLR257W_YEAST	Uncharacterized protein YLR257W	3.62294e+06	3.6843e+06	3.66019e+06	3.49801e+06	1.77677e+06	1.71473e+06	1.63534e+06	1.86317e+06
Q06147	Q06147	LCB5_YEAST	LCB5_YEAST	Sphingoid long chain base kinase 5	294612	262648	228789	124325		100016	36518.2	
Q06151	Q06151	DCPS_YEAST	DCS1_YEAST	m7GpppX diphosphatase	5.83282e+06	6.02655e+06	6.12332e+06	5.28934e+06	2.73264e+06	2.83378e+06	2.72296e+06	2.758e+06
Q06152	Q06152	YL271_YEAST	YLR271W_YEAST	Uncharacterized protein YLR271W	68669.2	40200.2		53816				
Q06156	Q06156	CND1_YEAST	YCS4_YEAST	Condensin complex subunit 1			39475.9					
Q06168	Q06168	SFH1_YEAST	SFH1_YEAST	Chromatin structure-remodeling complex subunit SFH1	545463	574517	536753	474427	251859	211261	257235	272576
Q06169	Q06169	PEX30_YEAST	PEX30_YEAST	Peroxisomal membrane protein PEX30	631048	629372	569204	597177	284585	304171	280296	228121
Q06177	Q06177	TMA10_YEAST	TMA10_YEAST	Translation machinery-associated protein 10	1.22831e+07	1.20373e+07	1.17281e+07	1.2858e+07	5.77882e+06	5.52591e+06	5.67935e+06	5.81678e+06
Q06178	Q06178	NMA1_YEAST	NMA1_YEAST	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1	621468	669767	736032	643274	311929	309680	281502	337853
Q06179	Q06179	FMP27_YEAST	FMP27_YEAST	Protein FMP27, mitochondrial	273774	246609	178599	268651	191852	174410	188610	151726
Q06203	Q06203	PUR1_HUMAN	PPAT_HUMAN	Amidophosphoribosyltransferase	2.85892e+06	2.88981e+06	2.96704e+06	2.86186e+06	3.00444e+06	3.01841e+06	3.08947e+06	3.10198e+06
Q06205	Q06205	FKBP4_YEAST	FPR4_YEAST	FK506-binding protein 4	2.55108e+06	2.45829e+06	2.4011e+06	2.24817e+06	1.46911e+06	1.33501e+06	1.46716e+06	749166
Q06210	Q06210	GFPT1_HUMAN	GFPT1_HUMAN	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	4.50293e+06	4.41093e+06	4.46936e+06	4.15569e+06	4.34142e+06	4.4704e+06	4.46678e+06	4.67756e+06
Q06211	Q06211	MMS1_YEAST	MMS1_YEAST	E3 ubiquitin-protein ligase linker protein MMS1	76056.8	74267.9	92593.9	89978.8	32715.5	35292	40809.9	23949.9
Q06213	Q06213	MED10_YEAST	NUT2_YEAST	Mediator of RNA polymerase II transcription subunit 10	206082	179223	200537	144778				
Q06214	Q06214	JIP5_YEAST	JIP5_YEAST	WD repeat-containing protein JIP5	467252	398247	639882	589860	231327	255499	160174	222056
Q06217	Q06217	SMD2_YEAST	SMD2_YEAST	Small nuclear ribonucleoprotein Sm D2	1.63613e+06	1.40437e+06	1.30163e+06	1.50111e+06	639909	639808	554426	556990
Q06218	Q06218	DBP9_YEAST	DBP9_YEAST	ATP-dependent RNA helicase DBP9	1.15335e+06	1.07462e+06	1.1588e+06	1.11939e+06	532019	507318	608991	623839
Q06224	Q06224	YSH1_YEAST	YSH1_YEAST	Endoribonuclease YSH1	280587	273273	261396	311556	120019	82984	221528	144221
Q06245	Q06245	SEC10_YEAST	SEC10_YEAST	Exocyst complex component SEC10	593145	621748	535154	566848		256689	248571	193083
Q06251	Q06251	YL177_YEAST	YLR177W_YEAST	Uncharacterized protein YLR177W	296688	311931	280985	250982	79858.1	93927.2	101862	99712.7
Q06252	Q06252	YL179_YEAST	YLR179C_YEAST	Uncharacterized protein YLR179C	1.4404e+07	1.4909e+07	1.48722e+07	1.30838e+07	7.03938e+06	7.29098e+06	7.15547e+06	6.85182e+06
Q06263	Q06263	VTA1_YEAST	VTA1_YEAST	Vacuolar protein sorting-associated protein VTA1	321742	370929	339110	254870	138431	149293	127903	138037
Q06265	Q06265	EXOS9_HUMAN	EXOSC9_HUMAN	Exosome complex component RRP45	1.92105e+06	1.97875e+06	1.95759e+06	1.91378e+06	2.04483e+06	2.06317e+06	2.03128e+06	1.98165e+06
Q06287	Q06287	NEP1_YEAST	EMG1_YEAST	Ribosomal RNA small subunit methyltransferase NEP1	1.94295e+06	2.15015e+06	2.03244e+06	1.98534e+06	872605	817136	797991	956748
Q06315	Q06315	SKG3_YEAST	SKG3_YEAST	Protein SKG3	274510	264990	263166	204084	149615	72639.4	80368.8	114942
Q06321	Q06321	ATG26_YEAST	ATG26_YEAST	Sterol 3-beta-glucosyltransferase	153261	180692	100148	191378				59130.2
Q06323	Q06323	PSME1_HUMAN	PSME1_HUMAN	Proteasome activator complex subunit 1	1.3882e+07	1.37507e+07	1.39042e+07	1.29377e+07	1.3643e+07	1.35305e+07	1.34293e+07	1.32511e+07
Q06330	Q06330	SUH_HUMAN	RBPJ_HUMAN	Recombining binding protein suppressor of hairless		58743.4	131274	31569.4	182467	108922	81870	250817
Q06333	Q06333	BL1S4_YEAST	CNL1_YEAST	Biogenesis of lysosome-related organelles complex 1 subunit CNL1	125043	275531	168866	157475				
Q06336	Q06336	GGA1_YEAST	GGA1_YEAST	ADP-ribosylation factor-binding protein GGA1	1.57409e+06	1.48271e+06	1.53553e+06	1.41209e+06	692063	682646	650646	671030
Q06338	Q06338	BCP1_YEAST	BCP1_YEAST	Protein BCP1	661806	652940	706595	625904	222561	294978	222288	321730
Q06339	Q06339	TFC6_YEAST	TFC6_YEAST	Transcription factor tau 91 kDa subunit	30617.4		57144.2	15020.6				
Q06344	Q06344	ESF1_YEAST	ESF1_YEAST	Pre-rRNA-processing protein ESF1	1.49647e+06	1.28034e+06	1.22039e+06	1.08379e+06	572991	571002	585448	588772
Q06346	Q06346	KEI1_YEAST	KEI1_YEAST	Inositol phosphorylceramide synthase regulatory subunit KEI1	1.2116e+06	1.08878e+06	1.09604e+06	1.09353e+06	438414	394827	405513	462869
Q06385	Q06385	VPS74_YEAST	VPS74_YEAST	Vacuolar protein sorting-associated protein 74	2.73654e+06	2.72291e+06	2.42917e+06	2.4776e+06	1.351e+06	1.23805e+06	1.20169e+06	1.10683e+06
Q06389	Q06389	NCS1_YEAST	FRQ1_YEAST	Calcium-binding protein NCS-1	317513	208936	342265	149696	126565	77536.2	117489	129740
Q06405	Q06405	ATPK_YEAST	ATP17_YEAST	ATP synthase subunit f, mitochondrial	1.3962e+06	1.67955e+06	1.42884e+06	1.88256e+06	866507		606204	782824
Q06406	Q06406	LSM6_YEAST	LSM6_YEAST	U6 snRNA-associated Sm-like protein LSm6	2.45056e+06	2.46057e+06	2.65083e+06	2.69688e+06	1.40522e+06	1.42355e+06	1.32799e+06	1.38523e+06
Q06407	Q06407	RGA2_YEAST	RGA2_YEAST	Rho-type GTPase-activating protein 2		71423	123725	98168.4				
Q06408	Q06408	ARO10_YEAST	ARO10_YEAST	Transaminated amino acid decarboxylase	672370	698331	552815	652588	252484	183811	260814	252525
Q06410	Q06410	ATG17_YEAST	ATG17_YEAST	Autophagy-related protein 17	185675	391335	122053	103225				
Q06436	Q06436	MAG2_YEAST	MAG2_YEAST	RING-finger protein MAG2		13351.1	83090.2					
Q06440	Q06440	CORO_YEAST	CRN1_YEAST	Coronin-like protein	7.82137e+06	7.96722e+06	8.00151e+06	7.287e+06	3.38645e+06	3.72337e+06	3.61322e+06	3.43977e+06
Q06449	Q06449	PIN3_YEAST	PIN3_YEAST	[PSI+] inducibility protein 3	5.16752e+06	5.1654e+06	4.96251e+06	5.01056e+06	2.33529e+06	2.15578e+06	2.34347e+06	2.32163e+06
Q06451	Q06451	TPO3_YEAST	TPO3_YEAST	Polyamine transporter 3	2.31274e+06	2.46176e+06	2.45829e+06	2.58943e+06	1.22757e+06	1.11914e+06	1.11009e+06	1.24167e+06
Q06479	Q06479	YL352_YEAST	YLR352W_YEAST	F-box protein YLR352W	117451		45956.8	106410				
